19885.xml	-55.63816119387818
83810.xml	-55.79119820254549
78572.xml	-59.439958242034024
54538.xml	-59.49731598101701
83267.xml	-60.08261663808635
39907.xml	-60.159722695134136
78574.xml	-60.4853679396676
19411.xml	-60.671698263882746
19409.xml	-60.96847091208092
80283.xml	-61.43269097055766
75435.xml	-61.63302256495554
79565.xml	-62.01377480948935
76403.xml	-62.218897042871944
19420.xml	-62.29652466412317
75433.xml	-62.44225726067924
53361.xml	-62.75302748754167
85997.xml	-62.8262555328628
19408.xml	-62.88736033204759
53269.xml	-62.927123996181265
76411.xml	-63.04867315998112
83868.xml	-63.083737214252835
80285.xml	-63.26477261618781
75429.xml	-63.46651368946415
50614.xml	-63.46785057837762
80280.xml	-63.64774069320073
82162.xml	-63.73732965530132
3148.xml	-63.77216953398478
81465.xml	-63.939938402275104
81462.xml	-63.962129507044565
75431.xml	-64.1464602004351
78580.xml	-64.18171255821245
19417.xml	-64.78875074232371
23349.xml	-64.78875074232371
23361.xml	-64.78875074232371
26648.xml	-64.78875074232371
6318.xml	-64.78875074232371
64482.xml	-64.78875074232371
64772.xml	-64.78875074232371
67327.xml	-64.78875074232371
76408.xml	-64.78875074232371
78577.xml	-64.78875074232371
78582.xml	-64.78875074232371
79548.xml	-64.78875074232371
79552.xml	-64.78875074232371
80282.xml	-64.78875074232371
80290.xml	-64.78875074232371
82188.xml	-64.78875074232371
82191.xml	-64.78875074232371
82908.xml	-64.78875074232371
85411.xml	-64.78875074232371
85535.xml	-64.78875074232371
