83810 -21.090872105540477
19411 -21.477322423506635
83267 -21.50271843440003
78572 -21.51057504296746
19420 -21.58634367629707
19409 -21.633969740701254
82908 -21.86093286883021
75429 -22.018163339710807
75433 -22.10547492410828
75431 -22.117031979430344
75435 -22.229306049827134
50614 -23.65527591833591
80285 -23.79476158491791
80283 -23.85525680461129
79565 -23.946609634202467
80280 -23.994321873479624
19408 -23.998645030759118
81465 -24.023971965393347
78574 -24.058964298447375
79548 -24.076879459412574
83868 -24.131991638792353
78580 -24.201235332261756
81462 -24.21236611368383
78577 -24.286496468593363
53269 -24.3061754599483
23349 -24.31433506282091
64482 -24.34022974100766
19885 -24.347314885169045
53361 -24.3536192764299
19417 -24.358201698599512
82162 -24.383716104731448
82191 -24.388864861915007
3148 -24.430148461129917
78582 -24.472073775991067
76411 -24.473508511859766
79552 -24.473508511859766
80290 -24.48615990796482
85997 -24.536064979547504
76408 -24.5533828404657
80282 -24.558949100318
82188 -24.587370965698394
76403 -24.80028946063392
54538 -24.804431002951485
6318 -24.868174042908148
39907 -24.891597080620016
23361 -24.91402930353061
64772 -24.98653710174053
67327 -24.989085011623665
85535 -24.991348408227466
26648 -25.19802221544189
85411 -25.19802221544189
