25144.xml	2.6009649325836307e-121
19505.xml	3.0423893486780005e-125
60155.xml	8.0268086314831e-127
60221.xml	6.339962331344866e-127
41320.xml	4.196139684415405e-127
78720.xml	3.0102323140182517e-127
81592.xml	1.8147189240752869e-127
75561.xml	5.491001234070536e-128
62292.xml	6.069722661858853e-129
62213.xml	3.533612353471066e-129
86878.xml	2.2673754070703132e-129
75471.xml	2.1861387576243145e-129
35053.xml	1.7950988276608745e-129
85236.xml	1.5079074574243387e-129
27814.xml	1.1167073227219875e-129
58514.xml	7.520017398493999e-130
75641.xml	6.323541853849238e-130
55848.xml	1.2637251513680254e-130
39972.xml	9.511886147017784e-131
58503.xml	8.221715057414089e-131
83965.xml	4.433034174823804e-131
59351.xml	1.1246633176864256e-131
52215.xml	8.032284271654011e-132
82966.xml	8.011948379003172e-132
17505.xml	6.734603717844782e-132
25765.xml	6.192634933454515e-132
43628.xml	5.5978275972153006e-132
62212.xml	2.083304413642245e-132
65284.xml	1.4364571809090608e-132
6119.xml	2.6112565457597336e-133
83332.xml	1.8329196378033086e-133
39864.xml	1.1246019961028431e-133
19480.xml	7.209203132349254e-134
83429.xml	6.054903442906832e-134
39304.xml	5.2900696222060555e-134
51691.xml	5.125770656936455e-134
61475.xml	3.8436930847814104e-134
80643.xml	2.5096029341046407e-134
50327.xml	2.354607118609288e-134
39883.xml	2.29315157674337e-134
83314.xml	1.8852009081238285e-134
83315.xml	1.377687280493571e-134
9954.xml	8.477872356606742e-135
63259.xml	4.413946086915653e-135
70026.xml	4.084582503950789e-135
82226.xml	2.9281040851867353e-135
80497.xml	2.895340720264148e-135
33060.xml	2.789494294312523e-135
85214.xml	1.5648187600041275e-135
57150.xml	1.4415306951745215e-135
47192.xml	7.465196116605497e-136
71517.xml	3.047334419346871e-136
76612.xml	6.674040947095412e-137
49518.xml	1.419030668973041e-137
61663.xml	5.830636256890724e-138
28710.xml	1.7272365362622089e-138
