39907.xml 4.23107953264817
78580.xml 1.3815158482024712
81465.xml 1.154807960923217
82162.xml 1.0961860254765081
81462.xml 0.9821795094133715
19417.xml 0.6854063433239839
19408.xml 0.6780852808150405
23349.xml 0.6577877769303835
82908.xml 0.6330093347154669
80280.xml 0.6288291717399311
80283.xml 0.5947885270948923
78572.xml 0.5560076755273586
79565.xml 0.5517124818442872
78574.xml 0.5438353042898093
19409.xml 0
19411.xml 0
19420.xml 0
19885.xml 0
23361.xml 0
26648.xml 0
3148.xml 0
50614.xml 0
53269.xml 0
53361.xml 0
54538.xml 0
6318.xml 0
64482.xml 0
64772.xml 0
67327.xml 0
75429.xml 0
75431.xml 0
75433.xml 0
75435.xml 0
76403.xml 0
76408.xml 0
76411.xml 0
78577.xml 0
78582.xml 0
79548.xml 0
79552.xml 0
80282.xml 0
80285.xml 0
80290.xml 0
82188.xml 0
82191.xml 0
83267.xml 0
83810.xml 0
83868.xml 0
85411.xml 0
85535.xml 0
85997.xml 0
